"k","frac_covered","gene","superpop"
4,0.84493041749503,"COL2A1","EUR"
5,0.866799204771372,"COL2A1","EUR"
6,0.874751491053678,"COL2A1","EUR"
7,0.880715705765408,"COL2A1","EUR"
8,0.884691848906561,"COL2A1","EUR"
9,0.886679920477137,"COL2A1","EUR"
10,0.888667992047714,"COL2A1","EUR"
11,0.888667992047714,"COL2A1","EUR"
1,0.537832310838446,"COL2A1","SAS"
2,0.78118609406953,"COL2A1","SAS"
3,0.850715746421268,"COL2A1","SAS"
4,0.877300613496933,"COL2A1","SAS"
5,0.893660531697341,"COL2A1","SAS"
6,0.903885480572597,"COL2A1","SAS"
7,0.907975460122699,"COL2A1","SAS"
8,0.912065439672802,"COL2A1","SAS"
9,0.916155419222904,"COL2A1","SAS"
10,0.918200408997955,"COL2A1","SAS"
11,0.920245398773006,"COL2A1","SAS"
12,0.922290388548057,"COL2A1","SAS"
13,0.924335378323108,"COL2A1","SAS"
14,0.92638036809816,"COL2A1","SAS"
15,0.92638036809816,"COL2A1","SAS"
1,0.456883509833585,"KCNJ11","AFR"
2,0.549167927382753,"KCNJ11","AFR"
3,0.627836611195159,"KCNJ11","AFR"
4,0.680786686838124,"KCNJ11","AFR"
5,0.692889561270802,"KCNJ11","AFR"
6,0.698940998487141,"KCNJ11","AFR"
7,0.70196671709531,"KCNJ11","AFR"
8,0.70499243570348,"KCNJ11","AFR"
9,0.706505295007564,"KCNJ11","AFR"
10,0.708018154311649,"KCNJ11","AFR"
11,0.708018154311649,"KCNJ11","AFR"
1,0.489913544668588,"KCNJ11","AMR"
2,0.708933717579251,"KCNJ11","AMR"
3,0.772334293948127,"KCNJ11","AMR"
4,0.780979827089337,"KCNJ11","AMR"
5,0.783861671469741,"KCNJ11","AMR"
6,0.786743515850144,"KCNJ11","AMR"
7,0.789625360230548,"KCNJ11","AMR"
8,0.789625360230548,"KCNJ11","AMR"
1,0.509920634920635,"KCNJ11","EAS"
2,0.601190476190476,"KCNJ11","EAS"
3,0.623015873015873,"KCNJ11","EAS"
4,0.642857142857143,"KCNJ11","EAS"
5,0.64484126984127,"KCNJ11","EAS"
6,0.64484126984127,"KCNJ11","EAS"
1,0.499005964214712,"KCNJ11","EUR"
2,0.685884691848907,"KCNJ11","EUR"
3,0.731610337972167,"KCNJ11","EUR"
4,0.757455268389662,"KCNJ11","EUR"
5,0.761431411530815,"KCNJ11","EUR"
6,0.761431411530815,"KCNJ11","EUR"
1,0.476482617586912,"KCNJ11","SAS"
2,0.660531697341513,"KCNJ11","SAS"
3,0.723926380368098,"KCNJ11","SAS"
4,0.742331288343558,"KCNJ11","SAS"
5,0.750511247443763,"KCNJ11","SAS"
6,0.754601226993865,"KCNJ11","SAS"
7,0.756646216768916,"KCNJ11","SAS"
8,0.756646216768916,"KCNJ11","SAS"
1,0.527987897125567,"KCNQ2","AFR"
2,0.739788199697428,"KCNQ2","AFR"
3,0.841149773071104,"KCNQ2","AFR"
4,0.900151285930408,"KCNQ2","AFR"
5,0.930408472012103,"KCNQ2","AFR"
6,0.951588502269289,"KCNQ2","AFR"
7,0.962178517397882,"KCNQ2","AFR"
8,0.968229954614221,"KCNQ2","AFR"
9,0.97125567322239,"KCNQ2","AFR"
10,0.972768532526475,"KCNQ2","AFR"
11,0.97428139183056,"KCNQ2","AFR"
12,0.975794251134644,"KCNQ2","AFR"
13,0.975794251134644,"KCNQ2","AFR"
1,0.527377521613833,"KCNQ2","AMR"
2,0.763688760806916,"KCNQ2","AMR"
3,0.870317002881844,"KCNQ2","AMR"
4,0.9164265129683,"KCNQ2","AMR"
5,0.93371757925072,"KCNQ2","AMR"
6,0.945244956772334,"KCNQ2","AMR"
7,0.953890489913545,"KCNQ2","AMR"
8,0.956772334293948,"KCNQ2","AMR"
9,0.959654178674352,"KCNQ2","AMR"
10,0.962536023054755,"KCNQ2","AMR"
11,0.965417867435158,"KCNQ2","AMR"
12,0.965417867435158,"KCNQ2","AMR"
1,0.529761904761905,"KCNQ2","EAS"
2,0.71031746031746,"KCNQ2","EAS"
3,0.78968253968254,"KCNQ2","EAS"
4,0.821428571428571,"KCNQ2","EAS"
5,0.843253968253968,"KCNQ2","EAS"
6,0.863095238095238,"KCNQ2","EAS"
7,0.873015873015873,"KCNQ2","EAS"
8,0.882936507936508,"KCNQ2","EAS"
