"k","mean","lo","hi","gene"
6,0.56211661341853,0.50469249201278,0.625299520766773,"PIK3CA"
7,0.583537539936102,0.563398562300319,0.643370607028754,"PIK3CA"
8,0.600768370607029,0.572084664536741,0.654652555910543,"PIK3CA"
9,0.611980830670927,0.587859424920128,0.665035942492013,"PIK3CA"
10,0.62429552715655,0.612220447284345,0.672124600638978,"PIK3CA"
1,0.324738817891374,0.308306709265176,0.341453674121406,"RELA"
2,0.500643769968051,0.454472843450479,0.577476038338658,"RELA"
3,0.59816054313099,0.588258785942492,0.650159744408946,"RELA"
4,0.650224440894569,0.623801916932907,0.689696485623003,"RELA"
5,0.685238817891374,0.674321086261981,0.714756389776358,"RELA"
6,0.709294728434505,0.693690095846645,0.736821086261981,"RELA"
7,0.725665335463259,0.707268370607029,0.741214057507987,"RELA"
8,0.739077476038339,0.73961661341853,0.751198083067093,"RELA"
9,0.751198083067093,0.751198083067093,0.751198083067093,"RELA"
1,0.346023162939297,0.279153354632588,0.423921725239617,"SCN2A"
2,0.545626198083067,0.493909744408946,0.601837060702875,"SCN2A"
3,0.662453674121406,0.620806709265176,0.717452076677316,"SCN2A"
4,0.739446485623003,0.702376198083067,0.789536741214057,"SCN2A"
5,0.789884984025559,0.760682907348243,0.833166932907348,"SCN2A"
6,0.823079872204473,0.79832268370607,0.858226837060703,"SCN2A"
7,0.847507987220447,0.826178115015974,0.876996805111821,"SCN2A"
8,0.865167731629393,0.849041533546326,0.888977635782748,"SCN2A"
9,0.877481629392971,0.862120607028754,0.898162939297125,"SCN2A"
10,0.887194888178914,0.874400958466454,0.905850638977636,"SCN2A"
1,0.29622124600639,0.232827476038339,0.344548722044728,"SCN8A"
2,0.448202875399361,0.390974440894569,0.528853833865815,"SCN8A"
3,0.539737220447284,0.462559904153355,0.604532747603834,"SCN8A"
4,0.598186102236422,0.544628594249201,0.668130990415335,"SCN8A"
5,0.63989696485623,0.606629392971246,0.706269968051118,"SCN8A"
6,0.6725303514377,0.629992012779553,0.727436102236422,"SCN8A"
7,0.696488019169329,0.649361022364217,0.747903354632588,"SCN8A"
8,0.715964057507987,0.662040734824281,0.767571884984026,"SCN8A"
9,0.734779552715655,0.684205271565495,0.788338658146965,"SCN8A"
10,0.750045527156549,0.710762779552716,0.804412939297125,"SCN8A"
1,0.338706869009585,0.336661341853035,0.382987220447284,"SPTAN1"
2,0.44092571884984,0.417232428115016,0.455670926517572,"SPTAN1"
3,0.483964057507987,0.455271565495208,0.489716453674121,"SPTAN1"
4,0.512285143769968,0.470447284345048,0.552016773162939,"SPTAN1"
5,0.530800319488818,0.480830670926518,0.595147763578275,"SPTAN1"
6,0.54714696485623,0.488817891373802,0.617112619808307,"SPTAN1"
7,0.559743610223642,0.496006389776358,0.627096645367412,"SPTAN1"
8,0.571313897763578,0.500698881789137,0.633785942492013,"SPTAN1"
9,0.582773961661342,0.50469249201278,0.640575079872205,"SPTAN1"
10,0.59261821086262,0.508386581469649,0.652955271565495,"SPTAN1"
1,0.24158945686901,0.181709265175719,0.271565495207668,"SPTLC1"
2,0.377646166134185,0.265575079872204,0.475738817891374,"SPTLC1"
3,0.457232428115016,0.38538338658147,0.544129392971246,"SPTLC1"
4,0.513214856230032,0.423921725239617,0.603134984025559,"SPTLC1"
5,0.554496805111821,0.501697284345048,0.631389776357827,"SPTLC1"
6,0.585720447284345,0.537440095846645,0.64866214057508,"SPTLC1"
7,0.608345047923323,0.57388178913738,0.659345047923323,"SPTLC1"
