"k","frac_covered","gene","superpop"
5,0.822995461422088,"KIF5B","AFR"
6,0.844175491679274,"KIF5B","AFR"
7,0.857791225416036,"KIF5B","AFR"
8,0.863842662632375,"KIF5B","AFR"
9,0.866868381240545,"KIF5B","AFR"
10,0.868381240544629,"KIF5B","AFR"
1,0.510086455331412,"KIF5B","AMR"
2,0.639769452449568,"KIF5B","AMR"
3,0.749279538904899,"KIF5B","AMR"
4,0.76657060518732,"KIF5B","AMR"
5,0.780979827089337,"KIF5B","AMR"
6,0.786743515850144,"KIF5B","AMR"
7,0.789625360230548,"KIF5B","AMR"
8,0.789625360230548,"KIF5B","AMR"
9,0.789625360230548,"KIF5B","AMR"
10,0.789625360230548,"KIF5B","AMR"
1,0.517857142857143,"KIF5B","EAS"
2,0.621031746031746,"KIF5B","EAS"
3,0.628968253968254,"KIF5B","EAS"
4,0.634920634920635,"KIF5B","EAS"
5,0.638888888888889,"KIF5B","EAS"
6,0.640873015873016,"KIF5B","EAS"
7,0.642857142857143,"KIF5B","EAS"
8,0.642857142857143,"KIF5B","EAS"
9,0.642857142857143,"KIF5B","EAS"
10,0.642857142857143,"KIF5B","EAS"
1,0.451292246520875,"KIF5B","EUR"
2,0.610337972166998,"KIF5B","EUR"
3,0.745526838966203,"KIF5B","EUR"
4,0.761431411530815,"KIF5B","EUR"
5,0.767395626242545,"KIF5B","EUR"
6,0.771371769383698,"KIF5B","EUR"
7,0.771371769383698,"KIF5B","EUR"
8,0.771371769383698,"KIF5B","EUR"
9,0.771371769383698,"KIF5B","EUR"
10,0.771371769383698,"KIF5B","EUR"
1,0.507157464212679,"KIF5B","SAS"
2,0.633946830265849,"KIF5B","SAS"
3,0.736196319018405,"KIF5B","SAS"
4,0.756646216768916,"KIF5B","SAS"
5,0.758691206543967,"KIF5B","SAS"
6,0.760736196319018,"KIF5B","SAS"
7,0.760736196319018,"KIF5B","SAS"
8,0.760736196319018,"KIF5B","SAS"
9,0.760736196319018,"KIF5B","SAS"
10,0.760736196319018,"KIF5B","SAS"
1,0.503782148260212,"MTOR","AFR"
2,0.709531013615734,"MTOR","AFR"
3,0.7821482602118,"MTOR","AFR"
4,0.826021180030257,"MTOR","AFR"
5,0.868381240544629,"MTOR","AFR"
6,0.886535552193646,"MTOR","AFR"
7,0.900151285930408,"MTOR","AFR"
8,0.909228441754917,"MTOR","AFR"
9,0.913767019667171,"MTOR","AFR"
10,0.918305597579425,"MTOR","AFR"
1,0.489913544668588,"MTOR","AMR"
2,0.645533141210375,"MTOR","AMR"
3,0.706051873198847,"MTOR","AMR"
4,0.729106628242075,"MTOR","AMR"
5,0.749279538904899,"MTOR","AMR"
6,0.76657060518732,"MTOR","AMR"
7,0.77521613832853,"MTOR","AMR"
8,0.780979827089337,"MTOR","AMR"
9,0.783861671469741,"MTOR","AMR"
10,0.786743515850144,"MTOR","AMR"
1,0.507936507936508,"MTOR","EAS"
2,0.722222222222222,"MTOR","EAS"
3,0.799603174603175,"MTOR","EAS"
4,0.829365079365079,"MTOR","EAS"
5,0.843253968253968,"MTOR","EAS"
6,0.851190476190476,"MTOR","EAS"
7,0.859126984126984,"MTOR","EAS"
8,0.865079365079365,"MTOR","EAS"
9,0.869047619047619,"MTOR","EAS"
10,0.871031746031746,"MTOR","EAS"
1,0.520874751491054,"MTOR","EUR"
2,0.709741550695825,"MTOR","EUR"
